idno;cntry;demogr;regionR
4583;Poland;13;42
4587;Poland;12;21
4593;Poland;13;42
4596;Poland;13;22
4597;Poland;13;61
4606;Poland;13;21
4609;Poland;13;51
4612;Poland;23;22
4623;Poland;21;51
4629;Poland;23;12
4633;Poland;23;11
4635;Poland;21;12
4636;Poland;12;21
4639;Poland;23;22
4649;Poland;22;22
4651;Poland;21;33
4652;Poland;21;31
4655;Poland;11;11
4658;Poland;23;22
4659;Poland;13;12
4663;Poland;22;22
4672;Poland;23;22
4676;Poland;13;32
4678;Poland;12;51
4679;Poland;11;33
4680;Poland;22;22
4682;Poland;21;32
4685;Poland;11;22
4693;Poland;11;22
4701;Poland;21;12
4714;Poland;12;41
4721;Poland;21;31
4725;Poland;23;22
4727;Poland;21;11
4732;Poland;23;31
4745;Poland;11;42
4752;Poland;22;62
4755;Poland;12;34
4768;Poland;12;52
4772;Poland;11;41
4776;Poland;13;22
4780;Poland;22;41
4782;Poland;13;41
4787;Poland;11;41
4788;Poland;11;31
4794;Poland;12;31
4799;Poland;13;42
4807;Poland;22;12
4808;Poland;13;21
4819;Poland;13;21
4826;Poland;23;12
4829;Poland;21;31
4845;Poland;11;63
4861;Poland;12;41
4864;Poland;11;42
4883;Poland;23;21
4886;Poland;23;63
4889;Poland;21;31
4890;Poland;23;41
4894;Poland;23;12
4898;Poland;11;42
4900;Poland;23;32
4902;Poland;21;41
4909;Poland;21;22
4922;Poland;13;11
4924;Poland;22;42
4934;Poland;11;62
4940;Poland;23;32
4943;Poland;23;63
4944;Poland;11;12
4945;Poland;21;21
4946;Poland;21;12
4959;Poland;12;22
4969;Poland;22;21
4974;Poland;23;32
4989;Poland;11;12
4992;Poland;22;12
4995;Poland;12;12
4996;Poland;11;12
4998;Poland;21;62
5005;Poland;12;22
5013;Poland;13;51
5015;Poland;22;63
5017;Poland;12;11
5019;Poland;12;33
5021;Poland;13;21
5028;Poland;21;52
5029;Poland;22;61
5045;Poland;13;33
5046;Poland;22;62
5069;Poland;22;22
5071;Poland;13;32
5072;Poland;11;31
5073;Poland;12;11
5077;Poland;23;12
5084;Poland;21;63
5086;Poland;13;51
5088;Poland;23;51
5089;Poland;23;41
5100;Poland;23;12
5102;Poland;11;22
5103;Poland;11;52
5104;Poland;12;41
5131;Poland;12;63
5132;Poland;13;51
5133;Poland;12;61
5135;Poland;23;41
5150;Poland;11;12
5161;Poland;21;21
5166;Poland;21;61
5176;Poland;22;42
5179;Poland;23;41
5181;Poland;23;51
5191;Poland;21;12
5202;Poland;11;11
5203;Poland;13;43
5210;Poland;13;41
5214;Poland;12;12
5215;Poland;23;32
5223;Poland;12;11
5224;Poland;23;42
5229;Poland;13;42
5243;Poland;13;42
5249;Poland;23;41
5251;Poland;12;12
5253;Poland;22;51
5256;Poland;21;31
5262;Poland;21;61
5264;Poland;11;12
5265;Poland;22;11
5268;Poland;21;63
5270;Poland;13;42
5271;Poland;13;42
5288;Poland;22;42
5290;Poland;13;22
5303;Poland;23;42
5306;Poland;11;61
5311;Poland;23;61
5316;Poland;12;52
5325;Poland;11;11
5328;Poland;11;61
5335;Poland;22;21
5344;Poland;21;22
5349;Poland;12;33
5356;Poland;13;22
5359;Poland;13;41
5362;Poland;23;33
5372;Poland;22;63
5377;Poland;22;51
5380;Poland;12;21
5385;Poland;22;12
5386;Poland;13;52
5400;Poland;11;63
5402;Poland;11;33
5411;Poland;22;34
5416;Poland;13;42
5420;Poland;23;51
5422;Poland;21;22
5425;Poland;12;41
5427;Poland;23;31
5442;Poland;13;62
5443;Poland;21;62
5458;Poland;13;11
5462;Poland;11;12
5468;Poland;21;12
5480;Poland;13;12
5482;Poland;21;62
5484;Poland;21;31
5489;Poland;22;33
5499;Poland;11;51
5505;Poland;21;51
5508;Poland;23;51
5524;Poland;22;12
5539;Poland;22;62
5551;Poland;22;21
5561;Poland;13;33
5574;Poland;13;32
5580;Poland;11;31
5589;Poland;23;22
5599;Poland;12;12
5604;Poland;23;41
5605;Poland;12;12
5609;Poland;23;33
5625;Poland;11;12
5635;Poland;21;12
5637;Poland;11;21
5641;Poland;11;12
5645;Poland;13;42
5656;Poland;21;32
5664;Poland;21;12
5665;Poland;11;41
5674;Poland;23;22
5675;Poland;22;52
5679;Poland;13;61
5680;Poland;13;63
5682;Poland;11;31
5683;Poland;23;21
5692;Poland;11;32
5694;Poland;13;11
5697;Poland;12;12
5701;Poland;21;12
5703;Poland;12;61
5709;Poland;12;12
5711;Poland;23;33
5713;Poland;11;51
5715;Poland;22;33
5729;Poland;21;12
5740;Poland;13;32
5744;Poland;12;41
5745;Poland;22;41
5753;Poland;23;41
5754;Poland;13;21
5768;Poland;23;21
5770;Poland;11;51
5779;Poland;13;33
5785;Poland;11;61
5793;Poland;12;52
5796;Poland;21;22
5800;Poland;22;21
5803;Poland;11;33
5816;Poland;12;12
5817;Poland;11;61
5819;Poland;23;22
5823;Poland;21;34
5824;Poland;12;22
5829;Poland;22;61
5832;Poland;12;11
5835;Poland;21;41
5841;Poland;11;11
5853;Poland;11;42
5867;Poland;13;22
5868;Poland;22;32
5869;Poland;13;12
5874;Poland;12;21
5880;Poland;13;61
5884;Poland;22;61
5886;Poland;13;12
5887;Poland;13;62
5901;Poland;13;22
5905;Poland;23;21
5911;Poland;12;51
5912;Poland;21;11
5913;Poland;12;61
5943;Poland;23;51
5945;Poland;22;42
5953;Poland;11;12
5968;Poland;12;22
5971;Poland;11;51
5973;Poland;11;51
5980;Poland;12;12
5983;Poland;11;51
5985;Poland;23;41
5990;Poland;13;51
5996;Poland;13;31
5997;Poland;13;42
5999;Poland;23;12
6002;Poland;22;12
6007;Poland;13;12
6008;Poland;23;11
6011;Poland;22;11
6024;Poland;11;33
6025;Poland;23;12
6029;Poland;12;12
6030;Poland;22;22
6031;Poland;21;62
6032;Poland;13;21
6040;Poland;21;21
6043;Poland;13;12
6046;Poland;21;52
6047;Poland;13;22
6049;Poland;12;12
6056;Poland;22;41
6060;Poland;23;22
6067;Poland;23;34
6068;Poland;21;31
6075;Poland;13;33
6091;Poland;13;22
6094;Poland;22;42
6114;Poland;11;22
6115;Poland;11;42
6125;Poland;21;33
6129;Poland;23;21
6132;Poland;23;41
6133;Poland;12;32
6138;Poland;11;12
6139;Poland;21;43
6141;Poland;23;33
6148;Poland;23;43
6166;Poland;11;21
6168;Poland;12;11
6172;Poland;12;21
6173;Poland;23;43
6175;Poland;23;52
6181;Poland;23;61
6186;Poland;23;34
6190;Poland;13;21
6191;Poland;21;41
6207;Poland;13;41
6217;Poland;13;43
6220;Poland;22;11
6235;Poland;23;12
6237;Poland;21;12
6240;Poland;21;41
6243;Poland;12;11
6255;Poland;11;12
6259;Poland;21;22
6268;Poland;11;33
6276;Poland;13;12
6278;Poland;22;41
6290;Poland;22;52
6291;Poland;12;12
6301;Poland;21;63
6304;Poland;22;41
6305;Poland;21;51
6324;Poland;23;51
6328;Poland;21;32
6336;Poland;13;51
6341;Poland;13;32
6349;Poland;21;21
6354;Poland;11;11
6362;Poland;12;34
6364;Poland;23;33
6374;Poland;23;51
6377;Poland;13;11
6379;Poland;13;21
6389;Poland;11;12
